heliost_number,n.s,azimut_angle,x,y,power,net_power
6444,0.710187,32.5096,61.5,-96.5,452.792,3.30473e+06
6445,0.96841,32.5096,-61.5,-96.5,617.426,3.30535e+06
6446,0.70646,33.1385,63,-96.5,450.415,3.3058e+06
6447,0.969572,33.1385,-63,-96.5,618.166,3.30641e+06
6448,0.702765,33.7585,64.5,-96.5,448.06,3.30686e+06
6449,0.97069,33.7585,-64.5,-96.5,618.879,3.30748e+06
6450,0.699103,34.3697,66,-96.5,445.725,3.30793e+06
6451,0.971766,34.3697,-66,-96.5,619.565,3.30855e+06
6452,0.695474,34.9721,67.5,-96.5,443.411,3.30899e+06
6453,0.9728,34.9721,-67.5,-96.5,620.225,3.30961e+06
6454,0.691878,35.5657,69,-96.5,441.118,3.31005e+06
6455,0.973794,35.5657,-69,-96.5,620.859,3.31067e+06
6456,0.688317,36.1507,70.5,-96.5,438.848,3.31111e+06
6457,0.97475,36.1507,-70.5,-96.5,621.468,3.31173e+06
6458,0.68479,36.7271,72,-96.5,436.599,3.31217e+06
6459,0.975668,36.7271,-72,-96.5,622.053,3.31279e+06
6460,0.681299,37.295,73.5,-96.5,434.373,3.31323e+06
6461,0.976549,37.295,-73.5,-96.5,622.615,3.31385e+06
6462,0.677843,37.8544,75,-96.5,432.17,3.31428e+06
6463,0.977394,37.8544,-75,-96.5,623.154,3.3149e+06
6464,0.871919,0,0,-98,555.906,3.31546e+06
6465,0.868375,0.876926,1.5,-98,553.647,3.31601e+06
6466,0.875415,0.876926,-1.5,-98,558.135,3.31657e+06
6467,0.864785,1.75335,3,-98,551.358,3.31712e+06
6468,0.878862,1.75335,-3,-98,560.333,3.31768e+06
6469,0.861151,2.62912,4.5,-98,549.041,3.31823e+06
6470,0.882258,2.62912,-4.5,-98,562.498,3.31879e+06
6471,0.857474,3.50353,6,-98,546.697,3.31934e+06
6472,0.885601,3.50353,-6,-98,564.629,3.31991e+06
6473,0.853758,4.37632,7.5,-98,544.328,3.32045e+06
6474,0.888889,4.37632,-7.5,-98,566.726,3.32102e+06
6475,0.850005,5.24714,9,-98,541.934,3.32156e+06
6476,0.892123,5.24714,-9,-98,568.787,3.32213e+06
6477,0.846215,6.11552,10.5,-98,539.518,3.32267e+06
6478,0.895299,6.11552,-10.5,-98,570.813,3.32324e+06
6479,0.842392,6.98106,12,-98,537.081,3.32378e+06
6480,0.898418,6.98106,-12,-98,572.801,3.32435e+06
6481,0.838538,7.84343,13.5,-98,534.624,3.32488e+06
6482,0.901477,7.84343,-13.5,-98,574.752,3.32546e+06
6483,0.834656,8.70222,15,-98,532.149,3.32599e+06
6484,0.904477,8.70222,-15,-98,576.664,3.32657e+06
6485,0.830747,9.55712,16.5,-98,529.656,3.3271e+06
6486,0.907416,9.55712,-16.5,-98,578.538,3.32767e+06
6487,0.826814,10.4077,18,-98,527.149,3.3282e+06
6488,0.910294,10.4077,-18,-98,580.373,3.32878e+06
6489,0.822859,11.2537,19.5,-98,524.627,3.32931e+06
6490,0.91311,11.2537,-19.5,-98,582.168,3.32989e+06
6491,0.818885,12.0948,21,-98,522.094,3.33041e+06
6492,0.915863,12.0948,-21,-98,583.924,3.33099e+06
6493,0.814895,12.9305,22.5,-98,519.549,3.33151e+06
6494,0.918554,12.9305,-22.5,-98,585.639,3.3321e+06
6495,0.81089,13.7608,24,-98,516.996,3.33262e+06
6496,0.921182,13.7608,-24,-98,587.315,3.3332e+06
6497,0.806872,14.5852,25.5,-98,514.435,3.33372e+06
6498,0.923747,14.5852,-25.5,-98,588.95,3.33431e+06
6499,0.802845,15.4034,27,-98,511.867,3.33482e+06
