heliost_number,n.s,azimut_angle,x,y,power,net_power
6235,0.911737,30.6926,-55.5,-93.5,792.706,4.90238e+06
6236,0.910495,31.3676,57,-93.5,791.626,4.90318e+06
6237,0.910495,31.3676,-57,-93.5,791.626,4.90397e+06
6238,0.909244,32.0329,58.5,-93.5,790.538,4.90476e+06
6239,0.909244,32.0329,-58.5,-93.5,790.538,4.90555e+06
6240,0.907986,32.6887,60,-93.5,789.444,4.90634e+06
6241,0.907986,32.6887,-60,-93.5,789.444,4.90713e+06
6242,0.906721,33.3351,61.5,-93.5,788.344,4.90792e+06
6243,0.906721,33.3351,-61.5,-93.5,788.344,4.9087e+06
6244,0.90545,33.972,63,-93.5,787.239,4.90949e+06
6245,0.90545,33.972,-63,-93.5,787.239,4.91028e+06
6246,0.904175,34.5994,64.5,-93.5,786.131,4.91106e+06
6247,0.904175,34.5994,-64.5,-93.5,786.131,4.91185e+06
6248,0.902896,35.2176,66,-93.5,785.019,4.91264e+06
6249,0.902896,35.2176,-66,-93.5,785.019,4.91342e+06
6250,0.901615,35.8265,67.5,-93.5,783.905,4.9142e+06
6251,0.901615,35.8265,-67.5,-93.5,783.905,4.91499e+06
6252,0.900331,36.4261,69,-93.5,782.789,4.91577e+06
6253,0.900331,36.4261,-69,-93.5,782.789,4.91655e+06
6254,0.899047,37.0167,70.5,-93.5,781.672,4.91734e+06
6255,0.899047,37.0167,-70.5,-93.5,781.672,4.91812e+06
6256,0.897762,37.5982,72,-93.5,780.555,4.9189e+06
6257,0.897762,37.5982,-72,-93.5,780.555,4.91968e+06
6258,0.896478,38.1708,73.5,-93.5,779.438,4.92046e+06
6259,0.896478,38.1708,-73.5,-93.5,779.438,4.92124e+06
6260,0.895195,38.7345,75,-93.5,778.323,4.92202e+06
6261,0.895195,38.7345,-75,-93.5,778.323,4.92279e+06
6262,0.939141,0,0,-95,816.531,4.92361e+06
6263,0.939116,0.904606,1.5,-95,816.51,4.92443e+06
6264,0.939116,0.904606,-1.5,-95,816.51,4.92524e+06
6265,0.939044,1.80873,3,-95,816.447,4.92606e+06
6266,0.939044,1.80873,-3,-95,816.447,4.92688e+06
6267,0.938922,2.71202,4.5,-95,816.342,4.92769e+06
6268,0.938922,2.71202,-4.5,-95,816.342,4.92851e+06
6269,0.938753,3.6139,6,-95,816.195,4.92933e+06
6270,0.938753,3.6139,-6,-95,816.195,4.93014e+06
6271,0.938536,4.51401,7.5,-95,816.006,4.93096e+06
6272,0.938536,4.51401,-7.5,-95,816.006,4.93177e+06
6273,0.938272,5.41186,9,-95,815.776,4.93259e+06
6274,0.938272,5.41186,-9,-95,815.776,4.93341e+06
6275,0.937961,6.30708,10.5,-95,815.506,4.93422e+06
6276,0.937961,6.30708,-10.5,-95,815.506,4.93504e+06
6277,0.937603,7.19925,12,-95,815.195,4.93585e+06
6278,0.937603,7.19925,-12,-95,815.195,4.93667e+06
6279,0.9372,8.08787,13.5,-95,814.845,4.93748e+06
6280,0.9372,8.08787,-13.5,-95,814.845,4.9383e+06
6281,0.936753,8.97262,15,-95,814.455,4.93911e+06
6282,0.936753,8.97262,-15,-95,814.455,4.93993e+06
6283,0.936261,9.85309,16.5,-95,814.028,4.94074e+06
6284,0.936261,9.85309,-16.5,-95,814.028,4.94155e+06
6285,0.935726,10.7288,18,-95,813.563,4.94237e+06
6286,0.935726,10.7288,-18,-95,813.563,4.94318e+06
6287,0.93515,11.5996,19.5,-95,813.062,4.94399e+06
6288,0.93515,11.5996,-19.5,-95,813.062,4.94481e+06
6289,0.934532,12.4649,21,-95,812.525,4.94562e+06
6290,0.934532,12.4649,-21,-95,812.525,4.94643e+06
6291,0.933875,13.3245,22.5,-95,811.953,4.94724e+06
6292,0.933875,13.3245,-22.5,-95,811.953,4.94806e+06
6293,0.933178,14.1781,24,-95,811.348,4.94887e+06
6294,0.933178,14.1781,-24,-95,811.348,4.94968e+06
6295,0.932445,15.0252,25.5,-95,810.71,4.95049e+06
6296,0.932445,15.0252,-25.5,-95,810.71,4.9513e+06
6297,0.931675,15.8657,27,-95,810.04,4.95211e+06
6298,0.931675,15.8657,-27,-95,810.04,4.95292e+06
6299,0.93087,16.6993,28.5,-95,809.34,4.95373e+06
6300,0.93087,16.6993,-28.5,-95,809.34,4.95454e+06
6301,0.930031,17.5256,30,-95,808.611,4.95535e+06
6302,0.930031,17.5256,-30,-95,808.611,4.95616e+06
6303,0.92916,18.3444,31.5,-95,807.854,4.95696e+06
6304,0.92916,18.3444,-31.5,-95,807.854,4.95777e+06
6305,0.928258,19.1556,33,-95,807.069,4.95858e+06
6306,0.928258,19.1556,-33,-95,807.069,4.95939e+06
6307,0.927326,19.9589,34.5,-95,806.259,4.96019e+06
6308,0.927326,19.9589,-34.5,-95,806.259,4.961e+06
6309,0.926366,20.7541,36,-95,805.425,4.9618e+06
6310,0.926366,20.7541,-36,-95,805.425,4.96261e+06
6311,0.925379,21.541,37.5,-95,804.567,4.96341e+06
6312,0.925379,21.541,-37.5,-95,804.567,4.96422e+06
6313,0.924367,22.3194,39,-95,803.686,4.96502e+06
6314,0.924367,22.3194,-39,-95,803.686,4.96583e+06
6315,0.92333,23.0893,40.5,-95,802.785,4.96663e+06
6316,0.92333,23.0893,-40.5,-95,802.785,4.96743e+06
6317,0.922271,23.8505,42,-95,801.864,4.96823e+06
6318,0.922271,23.8505,-42,-95,801.864,4.96904e+06
6319,0.92119,24.6028,43.5,-95,800.925,4.96984e+06
6320,0.92119,24.6028,-43.5,-95,800.925,4.97064e+06
6321,0.92009,25.3462,45,-95,799.968,4.97144e+06
6322,0.92009,25.3462,-45,-95,799.968,4.97224e+06
6323,0.91897,26.0805,46.5,-95,798.994,4.97304e+06
6324,0.91897,26.0805,-46.5,-95,798.994,4.97384e+06
6325,0.917833,26.8058,48,-95,798.006,4.97463e+06
6326,0.917833,26.8058,-48,-95,798.006,4.97543e+06
6327,0.91668,27.5219,49.5,-95,797.004,4.97623e+06
6328,0.91668,27.5219,-49.5,-95,797.004,4.97703e+06
6329,0.915513,28.2288,51,-95,795.988,4.97782e+06
6330,0.915513,28.2288,-51,-95,795.988,4.97862e+06
6331,0.914331,28.9264,52.5,-95,794.961,4.97941e+06
6332,0.914331,28.9264,-52.5,-95,794.961,4.98021e+06
6333,0.913137,29.6148,54,-95,793.923,4.981e+06
6334,0.913137,29.6148,-54,-95,793.923,4.9818e+06
6335,0.911932,30.2939,55.5,-95,792.875,4.98259e+06
6336,0.911932,30.2939,-55.5,-95,792.875,4.98338e+06
6337,0.910717,30.9638,57,-95,791.819,4.98417e+06
6338,0.910717,30.9638,-57,-95,791.819,4.98497e+06
6339,0.909492,31.6243,58.5,-95,790.754,4.98576e+06
6340,0.909492,31.6243,-58.5,-95,790.754,4.98655e+06
6341,0.90826,32.2756,60,-95,789.683,4.98734e+06
6342,0.90826,32.2756,-60,-95,789.683,4.98813e+06
6343,0.907021,32.9177,61.5,-95,788.605,4.98892e+06
6344,0.907021,32.9177,-61.5,-95,788.605,4.9897e+06
6345,0.905775,33.5507,63,-95,787.522,4.99049e+06
6346,0.905775,33.5507,-63,-95,787.522,4.99128e+06
6347,0.904525,34.1744,64.5,-95,786.435,4.99206e+06
6348,0.904525,34.1744,-64.5,-95,786.435,4.99285e+06
6349,0.903271,34.7891,66,-95,785.344,4.99364e+06
6350,0.903271,34.7891,-66,-95,785.344,4.99442e+06
6351,0.902013,35.3948,67.5,-95,784.251,4.99521e+06
6352,0.902013,35.3948,-67.5,-95,784.251,4.99599e+06
6353,0.900753,35.9915,69,-95,783.156,4.99677e+06
6354,0.900753,35.9915,-69,-95,783.156,4.99756e+06
6355,0.899491,36.5793,70.5,-95,782.059,4.99834e+06
6356,0.899491,36.5793,-70.5,-95,782.059,4.99912e+06
6357,0.898229,37.1583,72,-95,780.961,4.9999e+06
6358,0.898229,37.1583,-72,-95,780.961,5.00068e+06
6359,0.896966,37.7286,73.5,-95,779.863,5.00146e+06
6360,0.896966,37.7286,-73.5,-95,779.863,5.00224e+06
6361,0.895705,38.2902,75,-95,778.766,5.00302e+06
6362,0.895705,38.2902,-75,-95,778.766,5.0038e+06
6363,0.938601,0,0,-96.5,816.062,5.00462e+06
6364,0.938577,0.890654,1.5,-96.5,816.042,5.00543e+06
6365,0.938577,0.890654,-1.5,-96.5,816.042,5.00625e+06
6366,0.938507,1.7807,3,-96.5,815.981,5.00707e+06
6367,0.938507,1.7807,-3,-96.5,815.981,5.00788e+06
6368,0.93839,2.6699,4.5,-96.5,815.879,5.0087e+06
6369,0.93839,2.6699,-4.5,-96.5,815.879,5.00951e+06
6370,0.938226,3.55782,6,-96.5,815.736,5.01033e+06
6371,0.938226,3.55782,-6,-96.5,815.736,5.01114e+06
6372,0.938016,4.44413,7.5,-96.5,815.553,5.01196e+06
6373,0.938016,4.44413,-7.5,-96.5,815.553,5.01278e+06
6374,0.937759,5.32822,9,-96.5,815.331,5.01359e+06
6375,0.937759,5.32822,-9,-96.5,815.331,5.01441e+06
6376,0.937458,6.20984,10.5,-96.5,815.069,5.01522e+06
6377,0.937458,6.20984,-10.5,-96.5,815.069,5.01604e+06
6378,0.937112,7.08845,12,-96.5,814.767,5.01685e+06
6379,0.937112,7.08845,-12,-96.5,814.767,5.01767e+06
6380,0.936721,7.96381,13.5,-96.5,814.428,5.01848e+06
6381,0.936721,7.96381,-13.5,-96.5,814.428,5.0193e+06
6382,0.936287,8.83538,15,-96.5,814.051,5.02011e+06
6383,0.936287,8.83538,-15,-96.5,814.051,5.02092e+06
6384,0.935811,9.70286,16.5,-96.5,813.636,5.02174e+06
6385,0.935811,9.70286,-16.5,-96.5,813.636,5.02255e+06
6386,0.935292,10.5659,18,-96.5,813.186,5.02336e+06
6387,0.935292,10.5659,-18,-96.5,813.186,5.02418e+06
6388,0.934733,11.4241,19.5,-96.5,812.699,5.02499e+06
6389,0.934733,11.4241,-19.5,-96.5,812.699,5.0258e+06
6390,0.934134,12.2771,21,-96.5,812.178,5.02661e+06
6391,0.934134,12.2771,-21,-96.5,812.178,5.02743e+06
6392,0.933496,13.1246,22.5,-96.5,811.624,5.02824e+06
6393,0.933496,13.1246,-22.5,-96.5,811.624,5.02905e+06
6394,0.93282,13.9664,24,-96.5,811.036,5.02986e+06
6395,0.93282,13.9664,-24,-96.5,811.036,5.03067e+06
6396,0.932108,14.802,25.5,-96.5,810.417,5.03148e+06
6397,0.932108,14.802,-25.5,-96.5,810.417,5.03229e+06
6398,0.93136,15.6312,27,-96.5,809.767,5.0331e+06
6399,0.93136,15.6312,-27,-96.5,809.767,5.03391e+06
6400,0.930578,16.4538,28.5,-96.5,809.087,5.03472e+06
6401,0.930578,16.4538,-28.5,-96.5,809.087,5.03553e+06
6402,0.929763,17.2695,30,-96.5,808.378,5.03634e+06
6403,0.929763,17.2695,-30,-96.5,808.378,5.03715e+06
6404,0.928916,18.078,31.5,-96.5,807.642,5.03795e+06
6405,0.928916,18.078,-31.5,-96.5,807.642,5.03876e+06
6406,0.928039,18.8791,33,-96.5,806.879,5.03957e+06
6407,0.928039,18.8791,-33,-96.5,806.879,5.04038e+06
6408,0.927133,19.6726,34.5,-96.5,806.091,5.04118e+06
6409,0.927133,19.6726,-34.5,-96.5,806.091,5.04199e+06
6410,0.926199,20.4584,36,-96.5,805.279,5.04279e+06
6411,0.926199,20.4584,-36,-96.5,805.279,5.0436e+06
6412,0.925238,21.2362,37.5,-96.5,804.444,5.0444e+06
6413,0.925238,21.2362,-37.5,-96.5,804.444,5.04521e+06
6414,0.924252,22.0059,39,-96.5,803.587,5.04601e+06
6415,0.924252,22.0059,-39,-96.5,803.587,5.04681e+06
