i,j,x,y,power
0,0,0.00,-2.00,0.00
1,0,-1.50,-2.00,0.00
2,0,1.50,-2.00,0.00
3,0,-3.00,-2.00,285.16
4,0,3.00,-2.00,285.16
5,0,-4.50,-2.00,390.78
6,0,4.50,-2.00,390.78
7,0,-6.00,-2.00,457.07
8,0,6.00,-2.00,457.07
9,0,-7.50,-2.00,502.45
10,0,7.50,-2.00,502.45
11,0,-9.00,-2.00,529.54
12,0,9.00,-2.00,529.54
13,0,-10.50,-2.00,564.34
14,0,10.50,-2.00,564.34
15,0,-12.00,-2.00,581.05
16,0,12.00,-2.00,581.05
17,0,-13.50,-2.00,589.70
18,0,13.50,-2.00,589.70
19,0,-15.00,-2.00,589.37
20,0,15.00,-2.00,589.37
21,0,-16.50,-2.00,588.58
22,0,16.50,-2.00,588.58
23,0,-18.00,-2.00,587.73
24,0,18.00,-2.00,587.73
25,0,-19.50,-2.00,586.83
26,0,19.50,-2.00,586.83
27,0,-21.00,-2.00,585.87
28,0,21.00,-2.00,585.87
29,0,-22.50,-2.00,584.86
30,0,22.50,-2.00,584.86
31,0,-24.00,-2.00,583.80
32,0,24.00,-2.00,583.80
33,0,-25.50,-2.00,582.71
34,0,25.50,-2.00,582.71
35,0,-27.00,-2.00,581.58
36,0,27.00,-2.00,581.58
37,0,-28.50,-2.00,580.41
38,0,28.50,-2.00,580.41
39,0,-30.00,-2.00,579.22
40,0,30.00,-2.00,579.22
41,0,-31.50,-2.00,578.00
42,0,31.50,-2.00,578.00
43,0,-33.00,-2.00,576.75
44,0,33.00,-2.00,576.75
45,0,-34.50,-2.00,575.49
46,0,34.50,-2.00,575.49
47,0,-36.00,-2.00,574.20
48,0,36.00,-2.00,574.20
49,0,-37.50,-2.00,572.91
50,0,37.50,-2.00,572.91
51,0,-39.00,-2.00,571.60
52,0,39.00,-2.00,571.60
53,0,-40.50,-2.00,570.29
54,0,40.50,-2.00,570.29
55,0,-42.00,-2.00,568.97
56,0,42.00,-2.00,568.97
57,0,-43.50,-2.00,567.65
58,0,43.50,-2.00,567.65
59,0,-45.00,-2.00,566.32
60,0,45.00,-2.00,566.32
61,0,-46.50,-2.00,565.00
62,0,46.50,-2.00,565.00
63,0,-48.00,-2.00,563.68
64,0,48.00,-2.00,563.68
65,0,-49.50,-2.00,562.36
66,0,49.50,-2.00,562.36
67,0,-51.00,-2.00,561.05
68,0,51.00,-2.00,561.05
69,0,-52.50,-2.00,559.74
70,0,52.50,-2.00,559.74
71,0,-54.00,-2.00,558.45
72,0,54.00,-2.00,558.45
73,0,-55.50,-2.00,557.16
74,0,55.50,-2.00,557.16
75,0,-57.00,-2.00,555.89
76,0,57.00,-2.00,555.89
77,0,-58.50,-2.00,554.62
78,0,58.50,-2.00,554.62
79,0,-60.00,-2.00,553.37
80,0,60.00,-2.00,553.37
81,0,-61.50,-2.00,552.13
82,0,61.50,-2.00,552.14
83,0,-63.00,-2.00,550.91
84,0,63.00,-2.00,550.91
85,0,-64.50,-2.00,549.70
86,0,64.50,-2.00,549.70
87,0,-66.00,-2.00,548.51
88,0,66.00,-2.00,548.51
89,0,-67.50,-2.00,547.33
90,0,67.50,-2.00,547.33
91,0,-69.00,-2.00,546.16
92,0,69.00,-2.00,546.16
93,0,-70.50,-2.00,545.01
94,0,70.50,-2.00,545.01
95,0,-72.00,-2.00,543.88
96,0,72.00,-2.00,543.88
97,0,-73.50,-2.00,542.76
98,0,73.50,-2.00,542.76
99,0,-75.00,-2.00,541.66
0,1,0.00,-3.50,94.68
1,1,-1.50,-3.50,198.69
2,1,1.50,-3.50,198.69
3,1,-3.00,-3.50,304.37
4,1,3.00,-3.50,304.37
5,1,-4.50,-3.50,357.00
6,1,4.50,-3.50,357.00
7,1,-6.00,-3.50,408.50
8,1,6.00,-3.50,408.50
9,1,-7.50,-3.50,457.77
10,1,7.50,-3.50,457.77
11,1,-9.00,-3.50,488.36
12,1,9.00,-3.50,488.36
13,1,-10.50,-3.50,516.91
14,1,10.50,-3.50,516.91
15,1,-12.00,-3.50,542.77
16,1,12.00,-3.50,542.77
17,1,-13.50,-3.50,564.94
18,1,13.50,-3.50,564.94
19,1,-15.00,-3.50,581.82
20,1,15.00,-3.50,581.82
21,1,-16.50,-3.50,587.01
22,1,16.50,-3.50,587.01
23,1,-18.00,-3.50,589.65
24,1,18.00,-3.50,589.65
25,1,-19.50,-3.50,589.14
26,1,19.50,-3.50,589.14
27,1,-21.00,-3.50,588.17
28,1,21.00,-3.50,588.17
29,1,-22.50,-3.50,587.16
30,1,22.50,-3.50,587.16
31,1,-24.00,-3.50,586.09
32,1,24.00,-3.50,586.09
33,1,-25.50,-3.50,584.98
34,1,25.50,-3.50,584.98
35,1,-27.00,-3.50,583.84
36,1,27.00,-3.50,583.84
37,1,-28.50,-3.50,582.66
38,1,28.50,-3.50,582.66
39,1,-30.00,-3.50,581.45
40,1,30.00,-3.50,581.45
41,1,-31.50,-3.50,580.22
42,1,31.50,-3.50,580.22
43,1,-33.00,-3.50,578.96
44,1,33.00,-3.50,578.96
45,1,-34.50,-3.50,577.68
46,1,34.50,-3.50,577.68
47,1,-36.00,-3.50,576.38
48,1,36.00,-3.50,576.38
49,1,-37.50,-3.50,575.07
50,1,37.50,-3.50,575.07
51,1,-39.00,-3.50,573.75
52,1,39.00,-3.50,573.75
53,1,-40.50,-3.50,572.42
54,1,40.50,-3.50,572.42
55,1,-42.00,-3.50,571.08
56,1,42.00,-3.50,571.08
57,1,-43.50,-3.50,569.75
58,1,43.50,-3.50,569.75
59,1,-45.00,-3.50,568.40
60,1,45.00,-3.50,568.40
61,1,-46.50,-3.50,567.06
62,1,46.50,-3.50,567.06
63,1,-48.00,-3.50,565.73
64,1,48.00,-3.50,565.73
65,1,-49.50,-3.50,564.39
66,1,49.50,-3.50,564.39
67,1,-51.00,-3.50,563.07
68,1,51.00,-3.50,563.07
69,1,-52.50,-3.50,561.75
70,1,52.50,-3.50,561.75
71,1,-54.00,-3.50,560.43
72,1,54.00,-3.50,560.43
73,1,-55.50,-3.50,559.13
74,1,55.50,-3.50,559.13
75,1,-57.00,-3.50,557.84
76,1,57.00,-3.50,557.84
77,1,-58.50,-3.50,556.56
78,1,58.50,-3.50,556.56
79,1,-60.00,-3.50,555.29
80,1,60.00,-3.50,555.29
81,1,-61.50,-3.50,554.04
82,1,61.50,-3.50,554.04
83,1,-63.00,-3.50,552.80
84,1,63.00,-3.50,552.80
85,1,-64.50,-3.50,551.57
86,1,64.50,-3.50,551.57
87,1,-66.00,-3.50,550.36
88,1,66.00,-3.50,550.36
89,1,-67.50,-3.50,549.16
90,1,67.50,-3.50,549.16
91,1,-69.00,-3.50,547.98
92,1,69.00,-3.50,547.98
93,1,-70.50,-3.50,546.82
94,1,70.50,-3.50,546.82
95,1,-72.00,-3.50,545.67
96,1,72.00,-3.50,545.67
97,1,-73.50,-3.50,544.54
98,1,73.50,-3.50,544.54
99,1,-75.00,-3.50,543.42
0,2,0.00,-5.00,332.48
1,2,-1.50,-5.00,337.60
2,2,1.50,-5.00,337.60
3,2,-3.00,-5.00,324.11
4,2,3.00,-5.00,324.11
5,2,-4.50,-5.00,340.81
6,2,4.50,-5.00,340.81
7,2,-6.00,-5.00,392.63
8,2,6.00,-5.00,392.63
