i,j,x,y,power
0,0,0.00,-2.00,0.00
1,0,-1.50,-2.00,0.00
2,0,1.50,-2.00,0.00
3,0,-3.00,-2.00,284.64
4,0,3.00,-2.00,284.64
5,0,-4.50,-2.00,389.90
6,0,4.50,-2.00,389.90
7,0,-6.00,-2.00,455.95
8,0,6.00,-2.00,455.95
9,0,-7.50,-2.00,501.14
10,0,7.50,-2.00,501.14
11,0,-9.00,-2.00,527.94
12,0,9.00,-2.00,527.94
13,0,-10.50,-2.00,562.79
14,0,10.50,-2.00,562.79
15,0,-12.00,-2.00,579.26
16,0,12.00,-2.00,579.26
17,0,-13.50,-2.00,587.49
18,0,13.50,-2.00,587.49
19,0,-15.00,-2.00,586.40
20,0,15.00,-2.00,586.40
21,0,-16.50,-2.00,584.79
22,0,16.50,-2.00,584.79
23,0,-18.00,-2.00,583.09
24,0,18.00,-2.00,583.09
25,0,-19.50,-2.00,581.32
26,0,19.50,-2.00,581.32
27,0,-21.00,-2.00,579.48
28,0,21.00,-2.00,579.48
29,0,-22.50,-2.00,577.59
30,0,22.50,-2.00,577.59
31,0,-24.00,-2.00,575.66
32,0,24.00,-2.00,575.66
33,0,-25.50,-2.00,573.70
34,0,25.50,-2.00,573.70
35,0,-27.00,-2.00,571.72
36,0,27.00,-2.00,571.72
37,0,-28.50,-2.00,569.72
38,0,28.50,-2.00,569.72
39,0,-30.00,-2.00,567.71
40,0,30.00,-2.00,567.72
41,0,-31.50,-2.00,565.71
42,0,31.50,-2.00,565.71
43,0,-33.00,-2.00,563.72
44,0,33.00,-2.00,563.72
45,0,-34.50,-2.00,561.74
46,0,34.50,-2.00,561.74
47,0,-36.00,-2.00,559.78
48,0,36.00,-2.00,559.78
49,0,-37.50,-2.00,557.83
50,0,37.50,-2.00,557.83
51,0,-39.00,-2.00,555.92
52,0,39.00,-2.00,555.92
53,0,-40.50,-2.00,554.03
54,0,40.50,-2.00,554.03
55,0,-42.00,-2.00,552.17
56,0,42.00,-2.00,552.17
57,0,-43.50,-2.00,550.35
58,0,43.50,-2.00,550.35
59,0,-45.00,-2.00,548.55
60,0,45.00,-2.00,548.55
61,0,-46.50,-2.00,546.80
62,0,46.50,-2.00,546.80
63,0,-48.00,-2.00,545.08
64,0,48.00,-2.00,545.08
65,0,-49.50,-2.00,543.39
66,0,49.50,-2.00,543.39
67,0,-51.00,-2.00,541.74
68,0,51.00,-2.00,541.74
69,0,-52.50,-2.00,540.13
70,0,52.50,-2.00,540.13
71,0,-54.00,-2.00,538.56
72,0,54.00,-2.00,538.56
73,0,-55.50,-2.00,537.02
74,0,55.50,-2.00,537.02
75,0,-57.00,-2.00,535.52
76,0,57.00,-2.00,535.52
77,0,-58.50,-2.00,534.05
78,0,58.50,-2.00,534.05
79,0,-60.00,-2.00,532.62
80,0,60.00,-2.00,532.62
81,0,-61.50,-2.00,531.23
82,0,61.50,-2.00,531.23
83,0,-63.00,-2.00,529.86
84,0,63.00,-2.00,529.86
85,0,-64.50,-2.00,528.54
86,0,64.50,-2.00,528.54
87,0,-66.00,-2.00,527.24
88,0,66.00,-2.00,527.24
89,0,-67.50,-2.00,525.98
90,0,67.50,-2.00,525.98
91,0,-69.00,-2.00,524.75
92,0,69.00,-2.00,524.75
93,0,-70.50,-2.00,523.55
94,0,70.50,-2.00,523.55
95,0,-72.00,-2.00,522.38
96,0,72.00,-2.00,522.38
97,0,-73.50,-2.00,521.24
98,0,73.50,-2.00,521.24
99,0,-75.00,-2.00,520.12
0,1,0.00,-3.50,95.12
1,1,-1.50,-3.50,199.04
2,1,1.50,-3.50,199.04
3,1,-3.00,-3.50,304.46
4,1,3.00,-3.50,304.46
5,1,-4.50,-3.50,356.63
6,1,4.50,-3.50,356.63
7,1,-6.00,-3.50,407.74
8,1,6.00,-3.50,407.74
9,1,-7.50,-3.50,456.74
10,1,7.50,-3.50,456.74
11,1,-9.00,-3.50,486.97
12,1,9.00,-3.50,486.97
13,1,-10.50,-3.50,515.24
14,1,10.50,-3.50,515.24
15,1,-12.00,-3.50,540.86
16,1,12.00,-3.50,540.86
17,1,-13.50,-3.50,562.84
18,1,13.50,-3.50,562.84
19,1,-15.00,-3.50,579.46
20,1,15.00,-3.50,579.46
21,1,-16.50,-3.50,584.05
22,1,16.50,-3.50,584.05
23,1,-18.00,-3.50,585.97
24,1,18.00,-3.50,585.97
25,1,-19.50,-3.50,584.60
26,1,19.50,-3.50,584.60
27,1,-21.00,-3.50,582.73
28,1,21.00,-3.50,582.73
29,1,-22.50,-3.50,580.81
30,1,22.50,-3.50,580.81
31,1,-24.00,-3.50,578.85
32,1,24.00,-3.50,578.85
33,1,-25.50,-3.50,576.86
34,1,25.50,-3.50,576.86
35,1,-27.00,-3.50,574.84
36,1,27.00,-3.50,574.84
37,1,-28.50,-3.50,572.81
38,1,28.50,-3.50,572.81
39,1,-30.00,-3.50,570.78
40,1,30.00,-3.50,570.78
41,1,-31.50,-3.50,568.74
42,1,31.50,-3.50,568.74
43,1,-33.00,-3.50,566.71
44,1,33.00,-3.50,566.71
45,1,-34.50,-3.50,564.70
46,1,34.50,-3.50,564.70
47,1,-36.00,-3.50,562.70
48,1,36.00,-3.50,562.70
49,1,-37.50,-3.50,560.73
50,1,37.50,-3.50,560.73
51,1,-39.00,-3.50,558.78
52,1,39.00,-3.50,558.78
53,1,-40.50,-3.50,556.85
54,1,40.50,-3.50,556.85
55,1,-42.00,-3.50,554.96
56,1,42.00,-3.50,554.96
57,1,-43.50,-3.50,553.10
58,1,43.50,-3.50,553.10
59,1,-45.00,-3.50,551.27
60,1,45.00,-3.50,551.27
61,1,-46.50,-3.50,549.48
62,1,46.50,-3.50,549.48
63,1,-48.00,-3.50,547.73
64,1,48.00,-3.50,547.73
65,1,-49.50,-3.50,546.01
66,1,49.50,-3.50,546.01
67,1,-51.00,-3.50,544.33
68,1,51.00,-3.50,544.33
69,1,-52.50,-3.50,542.68
70,1,52.50,-3.50,542.68
71,1,-54.00,-3.50,541.08
72,1,54.00,-3.50,541.08
73,1,-55.50,-3.50,539.51
74,1,55.50,-3.50,539.51
75,1,-57.00,-3.50,537.98
76,1,57.00,-3.50,537.98
77,1,-58.50,-3.50,536.48
78,1,58.50,-3.50,536.48
79,1,-60.00,-3.50,535.02
80,1,60.00,-3.50,535.02
81,1,-61.50,-3.50,533.59
82,1,61.50,-3.50,533.59
83,1,-63.00,-3.50,532.20
84,1,63.00,-3.50,532.20
85,1,-64.50,-3.50,530.85
86,1,64.50,-3.50,530.85
87,1,-66.00,-3.50,529.53
88,1,66.00,-3.50,529.52
89,1,-67.50,-3.50,528.23
90,1,67.50,-3.50,528.23
91,1,-69.00,-3.50,526.98
92,1,69.00,-3.50,526.98
93,1,-70.50,-3.50,525.75
94,1,70.50,-3.50,525.75
95,1,-72.00,-3.50,524.55
96,1,72.00,-3.50,524.55
97,1,-73.50,-3.50,523.39
98,1,73.50,-3.50,523.39
99,1,-75.00,-3.50,522.25
0,2,0.00,-5.00,334.54
1,2,-1.50,-5.00,339.45
2,2,1.50,-5.00,339.45
3,2,-3.00,-5.00,325.14
4,2,3.00,-5.00,325.14
5,2,-4.50,-5.00,340.93
6,2,4.50,-5.00,340.93
7,2,-6.00,-5.00,392.40
8,2,6.00,-5.00,392.40
