i,j,x,y,power
0,0,0.00,-2.00,0.00
1,0,-1.50,-2.00,0.00
2,0,1.50,-2.00,0.00
3,0,-3.00,-2.00,285.30
4,0,3.00,-2.00,285.30
5,0,-4.50,-2.00,391.00
6,0,4.50,-2.00,391.00
7,0,-6.00,-2.00,457.34
8,0,6.00,-2.00,457.34
9,0,-7.50,-2.00,502.75
10,0,7.50,-2.00,502.75
11,0,-9.00,-2.00,529.88
12,0,9.00,-2.00,529.88
13,0,-10.50,-2.00,564.63
14,0,10.50,-2.00,564.63
15,0,-12.00,-2.00,581.35
16,0,12.00,-2.00,581.35
17,0,-13.50,-2.00,590.08
18,0,13.50,-2.00,590.08
19,0,-15.00,-2.00,589.93
20,0,15.00,-2.00,589.93
21,0,-16.50,-2.00,589.34
22,0,16.50,-2.00,589.34
23,0,-18.00,-2.00,588.70
24,0,18.00,-2.00,588.70
25,0,-19.50,-2.00,588.01
26,0,19.50,-2.00,588.01
27,0,-21.00,-2.00,587.28
28,0,21.00,-2.00,587.28
29,0,-22.50,-2.00,586.51
30,0,22.50,-2.00,586.51
31,0,-24.00,-2.00,585.70
32,0,24.00,-2.00,585.70
33,0,-25.50,-2.00,584.85
34,0,25.50,-2.00,584.85
35,0,-27.00,-2.00,583.97
36,0,27.00,-2.00,583.97
37,0,-28.50,-2.00,583.05
38,0,28.50,-2.00,583.05
39,0,-30.00,-2.00,582.11
40,0,30.00,-2.00,582.11
41,0,-31.50,-2.00,581.14
42,0,31.50,-2.00,581.14
43,0,-33.00,-2.00,580.15
44,0,33.00,-2.00,580.15
45,0,-34.50,-2.00,579.13
46,0,34.50,-2.00,579.13
47,0,-36.00,-2.00,578.09
48,0,36.00,-2.00,578.09
49,0,-37.50,-2.00,577.04
50,0,37.50,-2.00,577.04
51,0,-39.00,-2.00,575.97
52,0,39.00,-2.00,575.96
53,0,-40.50,-2.00,574.88
54,0,40.50,-2.00,574.88
55,0,-42.00,-2.00,573.78
56,0,42.00,-2.00,573.78
57,0,-43.50,-2.00,572.68
58,0,43.50,-2.00,572.68
59,0,-45.00,-2.00,571.56
60,0,45.00,-2.00,571.56
61,0,-46.50,-2.00,570.44
62,0,46.50,-2.00,570.44
63,0,-48.00,-2.00,569.31
64,0,48.00,-2.00,569.31
65,0,-49.50,-2.00,568.18
66,0,49.50,-2.00,568.18
67,0,-51.00,-2.00,567.05
68,0,51.00,-2.00,567.05
69,0,-52.50,-2.00,565.92
70,0,52.50,-2.00,565.92
71,0,-54.00,-2.00,564.79
72,0,54.00,-2.00,564.79
73,0,-55.50,-2.00,563.66
74,0,55.50,-2.00,563.66
75,0,-57.00,-2.00,562.53
76,0,57.00,-2.00,562.53
77,0,-58.50,-2.00,561.41
78,0,58.50,-2.00,561.41
79,0,-60.00,-2.00,560.29
80,0,60.00,-2.00,560.29
81,0,-61.50,-2.00,559.17
82,0,61.50,-2.00,559.17
83,0,-63.00,-2.00,558.07
84,0,63.00,-2.00,558.07
85,0,-64.50,-2.00,556.97
86,0,64.50,-2.00,556.97
87,0,-66.00,-2.00,555.87
88,0,66.00,-2.00,555.87
89,0,-67.50,-2.00,554.79
90,0,67.50,-2.00,554.79
91,0,-69.00,-2.00,553.72
92,0,69.00,-2.00,553.72
93,0,-70.50,-2.00,552.65
94,0,70.50,-2.00,552.65
95,0,-72.00,-2.00,551.59
96,0,72.00,-2.00,551.59
97,0,-73.50,-2.00,550.55
98,0,73.50,-2.00,550.55
99,0,-75.00,-2.00,549.51
0,1,0.00,-3.50,94.55
1,1,-1.50,-3.50,198.59
2,1,1.50,-3.50,198.59
3,1,-3.00,-3.50,304.33
4,1,3.00,-3.50,304.33
5,1,-4.50,-3.50,357.07
6,1,4.50,-3.50,357.07
7,1,-6.00,-3.50,408.67
8,1,6.00,-3.50,408.67
9,1,-7.50,-3.50,457.99
10,1,7.50,-3.50,457.99
11,1,-9.00,-3.50,488.65
12,1,9.00,-3.50,488.65
13,1,-10.50,-3.50,517.25
14,1,10.50,-3.50,517.25
15,1,-12.00,-3.50,543.12
16,1,12.00,-3.50,543.12
17,1,-13.50,-3.50,565.30
18,1,13.50,-3.50,565.30
19,1,-15.00,-3.50,582.19
20,1,15.00,-3.50,582.19
21,1,-16.50,-3.50,587.52
22,1,16.50,-3.50,587.52
23,1,-18.00,-3.50,590.32
24,1,18.00,-3.50,590.32
25,1,-19.50,-3.50,590.03
26,1,19.50,-3.50,590.03
27,1,-21.00,-3.50,589.29
28,1,21.00,-3.50,589.29
29,1,-22.50,-3.50,588.51
30,1,22.50,-3.50,588.51
31,1,-24.00,-3.50,587.69
32,1,24.00,-3.50,587.69
33,1,-25.50,-3.50,586.84
34,1,25.50,-3.50,586.84
35,1,-27.00,-3.50,585.95
36,1,27.00,-3.50,585.95
37,1,-28.50,-3.50,585.03
38,1,28.50,-3.50,585.03
39,1,-30.00,-3.50,584.07
40,1,30.00,-3.50,584.07
41,1,-31.50,-3.50,583.09
42,1,31.50,-3.50,583.09
43,1,-33.00,-3.50,582.09
44,1,33.00,-3.50,582.09
45,1,-34.50,-3.50,581.06
46,1,34.50,-3.50,581.06
47,1,-36.00,-3.50,580.01
48,1,36.00,-3.50,580.01
49,1,-37.50,-3.50,578.95
50,1,37.50,-3.50,578.95
51,1,-39.00,-3.50,577.87
52,1,39.00,-3.50,577.87
53,1,-40.50,-3.50,576.77
54,1,40.50,-3.50,576.77
55,1,-42.00,-3.50,575.66
56,1,42.00,-3.50,575.66
57,1,-43.50,-3.50,574.54
58,1,43.50,-3.50,574.54
59,1,-45.00,-3.50,573.42
60,1,45.00,-3.50,573.42
61,1,-46.50,-3.50,572.28
62,1,46.50,-3.50,572.28
63,1,-48.00,-3.50,571.15
64,1,48.00,-3.50,571.15
65,1,-49.50,-3.50,570.00
66,1,49.50,-3.50,570.00
67,1,-51.00,-3.50,568.86
68,1,51.00,-3.50,568.86
69,1,-52.50,-3.50,567.71
70,1,52.50,-3.50,567.72
71,1,-54.00,-3.50,566.57
72,1,54.00,-3.50,566.57
73,1,-55.50,-3.50,565.43
74,1,55.50,-3.50,565.43
75,1,-57.00,-3.50,564.29
76,1,57.00,-3.50,564.29
77,1,-58.50,-3.50,563.15
78,1,58.50,-3.50,563.15
79,1,-60.00,-3.50,562.02
80,1,60.00,-3.50,562.02
81,1,-61.50,-3.50,560.90
82,1,61.50,-3.50,560.90
83,1,-63.00,-3.50,559.78
84,1,63.00,-3.50,559.78
85,1,-64.50,-3.50,558.66
86,1,64.50,-3.50,558.66
87,1,-66.00,-3.50,557.56
88,1,66.00,-3.50,557.56
89,1,-67.50,-3.50,556.46
90,1,67.50,-3.50,556.46
91,1,-69.00,-3.50,555.38
92,1,69.00,-3.50,555.38
93,1,-70.50,-3.50,554.30
94,1,70.50,-3.50,554.30
95,1,-72.00,-3.50,553.23
96,1,72.00,-3.50,553.23
97,1,-73.50,-3.50,552.17
98,1,73.50,-3.50,552.17
99,1,-75.00,-3.50,551.12
0,2,0.00,-5.00,331.87
1,2,-1.50,-5.00,337.04
2,2,1.50,-5.00,337.04
3,2,-3.00,-5.00,323.79
4,2,3.00,-5.00,323.79
5,2,-4.50,-5.00,340.74
6,2,4.50,-5.00,340.74
7,2,-6.00,-5.00,392.64
8,2,6.00,-5.00,392.64
