x_pos;power
-67.7005;465.49
-67.6005;465.515
-67.5005;465.539
-67.4005;465.564
-67.3005;465.588
-67.2005;465.613
-67.1005;465.637
-67.0005;465.662
-66.9005;465.687
-66.8005;465.712
-66.7005;465.737
-66.6005;465.762
-66.5005;465.787
-66.4005;465.812
-66.3005;465.837
-66.2005;465.863
-66.1005;465.888
-66.0005;465.913
-65.9005;465.939
-65.8005;465.965
-65.7005;465.99
-65.6005;466.016
-65.5005;466.042
-65.4005;466.068
-65.3005;466.094
-65.2005;466.12
-65.1005;466.146
-65.0005;466.172
-64.9005;466.198
-64.8005;466.225
-64.7005;466.251
-64.6005;466.278
-64.5005;466.304
-64.4005;466.331
-64.3005;466.358
-64.2005;466.385
-64.1005;466.411
-64.0005;466.439
-63.9006;466.466
-63.8006;466.493
-63.7006;466.52
-63.6006;466.547
-63.5006;466.575
-63.4006;466.602
-63.3006;466.63
-63.2006;466.657
-63.1006;466.685
-63.0006;466.713
-62.9006;466.741
-62.8006;466.769
-62.7006;466.797
-62.6006;466.825
-62.5006;466.853
-62.4006;466.881
-62.3006;466.91
-62.2006;466.938
-62.1006;466.967
-62.0006;466.996
-61.9006;467.024
-61.8006;467.053
-61.7006;467.082
-61.6006;467.111
-61.5006;467.14
-61.4006;467.169
-61.3006;467.199
-61.2006;467.228
-61.1006;467.257
-61.0006;467.287
-60.9006;467.317
-60.8006;467.346
-60.7006;467.376
-60.6006;467.406
-60.5006;467.436
-60.4006;467.466
-60.3006;467.496
-60.2006;467.527
-60.1006;467.557
-60.0006;467.587
-59.9006;467.618
-59.8006;467.649
-59.7006;467.68
-59.6006;467.71
-59.5006;467.741
-59.4006;467.772
-59.3006;467.804
-59.2006;467.835
-59.1006;467.866
-59.0006;467.898
-58.9006;467.929
-58.8006;467.961
-58.7006;467.993
-58.6006;468.024
-58.5006;468.056
-58.4006;468.089
-58.3006;468.121
-58.2006;468.153
-58.1006;468.185
-58.0006;468.218
-57.9006;468.25
-57.8006;468.283
-57.7006;468.316
-57.6006;468.349
-57.5006;468.382
-57.4007;468.415
-57.3007;468.448
-57.2007;468.481
-57.1007;468.515
-57.0007;468.548
-56.9007;468.582
-56.8007;468.616
-56.7007;468.65
-56.6007;468.684
-56.5007;468.718
-56.4007;468.752
-56.3007;468.786
-56.2007;468.821
-56.1007;468.855
-56.0007;468.89
-55.9007;468.925
-55.8007;468.96
-55.7007;468.995
-55.6007;469.03
-55.5007;469.065
-55.4007;469.101
-55.3007;469.136
-55.2007;469.172
-55.1007;469.207
-55.0007;469.243
-54.9007;469.279
-54.8007;469.315
-54.7007;469.352
-54.6007;469.388
-54.5007;469.424
-54.4007;469.461
-54.3007;469.498
-54.2007;469.535
-54.1007;469.572
-54.0007;469.609
-53.9007;469.646
-53.8007;469.683
-53.7007;469.721
-53.6007;469.758
-53.5007;469.796
-53.4007;469.834
-53.3007;469.872
-53.2007;469.91
-53.1007;469.949
-53.0007;469.987
-52.9007;470.026
-52.8007;470.064
-52.7007;470.103
-52.6007;470.142
-52.5007;470.181
-52.4007;470.22
-52.3007;470.26
-52.2007;470.299
-52.1007;470.339
-52.0007;470.379
-51.9007;470.419
-51.8007;470.459
-51.7007;470.499
-51.6007;470.539
-51.5007;470.58
-51.4007;470.62
-51.3007;470.661
-51.2007;470.702
-51.1007;470.743
-51.0007;470.784
-50.9007;470.826
-50.8008;470.867
-50.7008;470.909
-50.6008;470.951
-50.5008;470.993
-50.4008;471.035
-50.3008;471.077
-50.2008;471.12
-50.1008;471.162
-50.0008;471.205
-49.9008;471.248
-49.8008;471.291
-49.7008;471.335
-49.6008;471.378
-49.5008;471.421
-49.4008;471.465
-49.3008;471.509
-49.2008;471.553
-49.1008;471.597
-49.0008;471.642
-48.9008;471.686
-48.8008;471.731
-48.7008;471.776
-48.6008;471.821
-48.5008;471.866
-48.4008;471.912
-48.3008;471.957
-48.2008;472.003
-48.1008;472.049
-48.0008;472.095
-47.9008;472.141
-47.8008;472.188
-47.7008;472.234
-47.6008;472.281
-47.5008;472.328
-47.4008;472.375
-47.3008;472.423
-47.2008;472.47
-47.1008;472.518
-47.0008;472.566
-46.9008;472.614
-46.8008;472.662
-46.7008;472.711
-46.6008;472.759
-46.5008;472.808
-46.4008;472.857
-46.3008;472.906
-46.2008;472.956
-46.1008;473.005
-46.0008;473.055
-45.9008;473.105
-45.8008;473.155
-45.7008;473.206
