NDA;POWER;ZEN;S_z
197;563.898;0.699923;0.764892
198;563.579;0.696858;0.766863
199;563.249;0.693684;0.768896
200;562.909;0.690402;0.77099
201;562.559;0.687014;0.773144
202;562.198;0.68352;0.775355
203;561.827;0.679921;0.777622
204;561.445;0.676219;0.779945
205;561.053;0.672414;0.78232
206;560.649;0.668508;0.784747
207;560.235;0.664502;0.787224
208;559.81;0.660397;0.789749
209;559.374;0.656194;0.79232
210;558.926;0.651894;0.794936
211;558.468;0.647499;0.797595
212;557.998;0.643011;0.800294
213;557.518;0.638429;0.803033
214;557.026;0.633757;0.805809
215;556.522;0.628994;0.80862
216;556.007;0.624143;0.811464
217;555.481;0.619205;0.81434
218;554.943;0.614181;0.817245
219;554.393;0.609074;0.820178
220;553.832;0.603883;0.823137
221;553.26;0.598612;0.826119
222;552.675;0.593261;0.829122
223;552.079;0.587832;0.832145
224;551.471;0.582327;0.835185
225;550.851;0.576747;0.838241
226;550.22;0.571094;0.84131
227;549.577;0.56537;0.844391
228;548.921;0.559576;0.84748
229;548.254;0.553714;0.850577
230;547.576;0.547786;0.85368
231;546.885;0.541793;0.856785
232;546.183;0.535738;0.859892
233;545.469;0.529622;0.862998
234;544.743;0.523447;0.866101
235;544.006;0.517214;0.8692
236;543.257;0.510927;0.872292
237;542.496;0.504585;0.875375
238;541.724;0.498192;0.878448
239;540.94;0.491749;0.881508
240;540.145;0.485259;0.884554
241;539.339;0.478722;0.887584
242;538.522;0.472141;0.890597
243;537.693;0.465518;0.893589
244;536.854;0.458855;0.89656
245;536.003;0.452154;0.899508
246;535.142;0.445417;0.902431
247;534.271;0.438646;0.905328
248;533.389;0.431842;0.908196
249;532.496;0.425009;0.911035
250;531.594;0.418147;0.913843
251;530.682;0.411259;0.916618
252;529.76;0.404347;0.91936
253;528.828;0.397413;0.922065
254;527.887;0.390459;0.924735
255;526.937;0.383487;0.927366
256;525.978;0.376499;0.929957
257;525.01;0.369498;0.932509
258;524.033;0.362485;0.935019
259;523.049;0.355462;0.937486
260;522.057;0.348431;0.939909
261;521.057;0.341396;0.942288
262;520.049;0.334356;0.944622
263;519.035;0.327316;0.946909
264;518.013;0.320276;0.949148
265;516.986;0.313239;0.95134
266;515.952;0.306208;0.953484
267;514.912;0.299183;0.955578
268;513.866;0.292167;0.957622
269;512.816;0.285162;0.959616
270;511.761;0.278171;0.961559
271;510.701;0.271195;0.963452
272;509.637;0.264236;0.965292
273;508.569;0.257297;0.967081
274;507.498;0.250379;0.968818
275;506.424;0.243485;0.970504
276;505.347;0.236617;0.972137
277;504.269;0.229776;0.973717
278;503.188;0.222965;0.975246
279;502.107;0.216185;0.976723
280;501.024;0.209439;0.978148
281;499.941;0.202729;0.979521
282;498.857;0.196056;0.980842
283;497.774;0.189423;0.982113
284;496.692;0.182832;0.983333
285;495.612;0.176284;0.984502
286;494.533;0.169781;0.985622
287;493.456;0.163326;0.986692
288;492.382;0.156921;0.987713
289;491.311;0.150566;0.988686
290;490.244;0.144265;0.989612
291;489.181;0.138019;0.990491
292;488.122;0.131829;0.991323
293;487.068;0.125698;0.99211
294;486.02;0.119627;0.992853
295;484.978;0.113619;0.993552
296;483.943;0.107675;0.994209
297;482.914;0.101796;0.994823
298;481.893;0.0959844;0.995397
299;480.88;0.0902431;0.995931
300;479.876;0.0845719;0.996426
301;478.88;0.0789735;0.996883
302;477.894;0.0734497;0.997304
303;476.917;0.0680018;0.997689
304;475.952;0.0626312;0.998039
305;474.997;0.0573399;0.998357
306;474.053;0.0521286;0.998642
307;473.121;0.047;0.998896
308;472.202;0.0419555;0.99912
309;471.295;0.0369957;0.999316
310;470.401;0.0321223;0.999484
311;469.521;0.0273381;0.999626
312;468.656;0.0226438;0.999744
313;467.805;0.0180369;0.999837
314;466.969;0.0135273;0.999909
315;466.149;0.0091088;0.999959
316;465.344;0.00478416;0.999989
317;464.566;0.00059802;1
318;465.444;0.00357147;0.999994
319;466.565;0.00760373;0.999971
320;467.658;0.0115343;0.999933
321;468.723;0.0153636;0.999882
322;469.761;0.0190933;0.999818
323;470.77;0.0227174;0.999742
324;471.751;0.0262365;0.999656
325;472.704;0.0296519;0.99956
326;473.628;0.0329614;0.999457
327;474.523;0.0361612;0.999346
328;475.389;0.0392538;0.99923
329;476.226;0.0422374;0.999108
330;477.034;0.0451111;0.998983
331;477.812;0.0478736;0.998854
332;478.56;0.0505242;0.998724
333;479.278;0.0530618;0.998593
334;479.966;0.0554867;0.998461
335;480.624;0.0577967;0.99833
336;481.252;0.0599931;0.998201
337;481.85;0.0620736;0.998074
338;482.416;0.0640373;0.99795
339;482.952;0.0658856;0.99783
340;483.458;0.0676165;0.997715
341;483.932;0.0692293;0.997605
342;484.375;0.0707237;0.9975
343;484.788;0.0721004;0.997402
344;485.169;0.0733579;0.997311
345;485.519;0.0744957;0.997226
346;485.837;0.0755139;0.99715
347;486.124;0.0764124;0.997082
348;486.38;0.0771908;0.997022
349;486.604;0.0778481;0.996971
350;486.797;0.078385;0.996929
351;486.957;0.0788011;0.996897
352;487.087;0.0790966;0.996873
353;487.184;0.0792706;0.99686
354;487.25;0.0793233;0.996856
355;487.284;0.0792548;0.996861
356;487.286;0.0790656;0.996876
357;487.256;0.0787556;0.9969
358;487.195;0.0783241;0.996934
359;487.101;0.0777722;0.996977
360;486.976;0.0770995;0.997029
361;486.819;0.0763069;0.99709
362;486.63;0.0753937;0.997159
363;486.41;0.0743603;0.997237
364;486.158;0.0732072;0.997322
365;485.873;0.0719347;0.997414
