xpos;power;ReflPercent
-78.4003;791.971;73.0547
-78.3003;792.002;73.0576
-78.2003;792.034;73.0605
-78.1003;792.065;73.0634
-78.0003;792.097;73.0663
-77.9003;792.128;73.0692
-77.8003;792.16;73.0722
-77.7003;792.192;73.0751
-77.6003;792.224;73.078
-77.5003;792.256;73.081
-77.4003;792.288;73.084
-77.3003;792.32;73.0869
-77.2003;792.353;73.0899
-77.1003;792.385;73.0929
-77.0004;792.418;73.0959
-76.9004;792.45;73.0989
-76.8004;792.483;73.1019
-76.7004;792.515;73.1049
-76.6004;792.548;73.1079
-76.5004;792.581;73.111
-76.4004;792.614;73.114
-76.3004;792.647;73.1171
-76.2004;792.68;73.1201
-76.1004;792.713;73.1232
-76.0004;792.747;73.1262
-75.9004;792.78;73.1293
-75.8004;792.813;73.1324
-75.7004;792.847;73.1355
-75.6004;792.88;73.1386
-75.5004;792.914;73.1417
-75.4004;792.948;73.1448
-75.3004;792.982;73.1479
-75.2004;793.016;73.1511
-75.1004;793.05;73.1542
-75.0004;793.084;73.1574
-74.9004;793.118;73.1605
-74.8004;793.152;73.1637
-74.7004;793.187;73.1668
-74.6004;793.221;73.17
-74.5004;793.256;73.1732
-74.4004;793.29;73.1764
-74.3004;793.325;73.1796
-74.2004;793.36;73.1828
-74.1004;793.395;73.1861
-74.0004;793.43;73.1893
-73.9004;793.465;73.1925
-73.8004;793.5;73.1958
-73.7004;793.536;73.199
-73.6004;793.571;73.2023
-73.5004;793.606;73.2056
-73.4004;793.642;73.2088
-73.3004;793.678;73.2121
-73.2004;793.713;73.2154
-73.1004;793.749;73.2187
-73.0004;793.785;73.222
-72.9004;793.821;73.2254
-72.8004;793.857;73.2287
-72.7004;793.893;73.232
-72.6004;793.93;73.2354
-72.5004;793.966;73.2387
-72.4004;794.003;73.2421
-72.3004;794.039;73.2455
-72.2004;794.076;73.2489
-72.1004;794.113;73.2523
-72.0004;794.15;73.2557
-71.9004;794.187;73.2591
-71.8004;794.224;73.2625
-71.7004;794.261;73.2659
-71.6004;794.298;73.2694
-71.5004;794.336;73.2728
-71.4004;794.373;73.2763
-71.3004;794.411;73.2797
-71.2004;794.448;73.2832
-71.1004;794.486;73.2867
-71.0004;794.524;73.2902
-70.9004;794.562;73.2937
-70.8004;794.6;73.2972
-70.7004;794.638;73.3007
