theta_deg;power;Reflec_Percent
35.4795;938.964;84.669
36.0524;937.944;84.577
36.6254;936.908;84.4837
37.1984;935.858;84.389
37.7714;934.792;84.2929
38.3443;933.712;84.1954
38.9173;932.616;84.0966
39.4903;931.505;83.9965
40.0632;930.38;83.895
40.6362;929.239;83.7922
41.2092;928.084;83.688
41.7822;926.914;83.5825
42.3551;925.729;83.4757
42.9281;924.53;83.3675
43.5011;923.316;83.2581
44.074;922.088;83.1473
44.647;920.845;83.0352
45.22;919.588;82.9219
45.7929;918.317;82.8073
46.3659;917.032;82.6914
46.9389;915.732;82.5741
47.5119;914.418;82.4557
48.0848;913.09;82.3359
48.6578;911.749;82.215
49.2308;910.393;82.0927
49.8037;909.024;81.9693
50.3767;907.641;81.8445
50.9497;906.244;81.7186
51.5226;904.834;81.5914
52.0956;903.41;81.4631
52.6686;901.973;81.3335
53.2416;900.522;81.2027
53.8145;899.059;81.0707
54.3875;897.582;80.9375
54.9605;896.092;80.8032
55.5334;894.589;80.6676
56.1064;893.073;80.531
56.6794;891.544;80.3931
57.2524;890.003;80.2541
57.8253;888.449;80.114
58.3983;886.883;79.9727
58.9713;885.303;79.8303
59.5443;883.712;79.6868
60.1172;882.108;79.5422
60.6902;880.492;79.3965
61.2632;878.864;79.2497
61.8361;877.224;79.1018
62.4091;875.572;78.9529
62.9821;873.909;78.8028
63.5551;872.233;78.6518
64.128;870.546;78.4996
64.701;868.848;78.3465
65.274;867.138;78.1923
65.8469;865.417;78.0371
66.4199;863.684;77.8809
66.9929;861.941;77.7237
67.5659;860.186;77.5654
68.1388;858.421;77.4063
68.7118;856.645;77.2461
69.2848;854.858;77.085
69.8577;853.061;76.9229
70.4307;851.253;76.7599
71.0037;849.435;76.596
71.5766;847.607;76.4312
72.1496;845.769;76.2654
72.7226;843.921;76.0987
73.2956;842.063;75.9312
73.8685;840.195;75.7628
74.4415;838.318;75.5935
75.0145;836.431;75.4233
75.5874;834.535;75.2524
76.1604;832.629;75.0806
76.7334;830.715;74.9079
77.3063;828.792;74.7345
77.8793;826.859;74.5603
78.4523;824.918;74.3852
79.0253;822.969;74.2094
79.5982;821.011;74.0329
80.1712;819.045;73.8556
80.7442;817.07;73.6776
81.3171;815.088;73.4988
81.8901;813.098;73.3194
82.4631;811.1;73.1392
83.0361;809.094;72.9584
83.609;807.081;72.7768
84.182;805.061;72.5947
84.755;803.034;72.4118
85.3279;800.999;72.2284
85.9009;798.958;72.0443
86.4739;796.91;71.8596
87.0468;794.855;71.6744
87.6198;792.794;71.4885
88.1928;790.727;71.3021
88.7658;788.654;71.1152
89.3387;786.575;70.9277
89.9117;784.49;70.7397
