HORALOCAL;J;POWER;ReflecPercent;ZEN;AZIM;Sz
13.2;1082.02;962.4;88.9444;0.710695;-0.467974;0.757908
13.28;1080.63;960.53;88.8865;0.719872;-0.494976;0.75189
13.36;1079.12;958.523;88.8249;0.729513;-0.521314;0.745499
13.44;1077.5;956.381;88.7597;0.739601;-0.546984;0.738737
13.52;1075.77;954.107;88.6909;0.750118;-0.571984;0.731608
13.6;1073.92;951.691;88.6185;0.761046;-0.596315;0.724115
13.68;1071.95;949.132;88.5426;0.772368;-0.619983;0.71626
13.76;1069.86;946.428;88.4632;0.784066;-0.642994;0.708048
13.84;1067.63;943.572;88.3802;0.796123;-0.665358;0.699483
13.92;1065.27;940.564;88.2938;0.808524;-0.687084;0.690566
14;1062.76;937.393;88.2039;0.821254;-0.708185;0.681304
14.08;1060.11;934.066;88.1106;0.834296;-0.728675;0.671699
14.16;1057.3;930.57;88.014;0.847637;-0.748568;0.661757
14.24;1054.32;926.895;87.914;0.861262;-0.76788;0.651481
14.32;1051.17;923.042;87.8106;0.875159;-0.786626;0.640875
14.4;1047.85;919.006;87.704;0.889314;-0.804822;0.629945
14.48;1044.34;914.778;87.5941;0.903715;-0.822486;0.618696
14.56;1040.61;910.339;87.481;0.918351;-0.839633;0.607131
14.64;1036.68;905.694;87.3647;0.933211;-0.856281;0.595257
14.72;1032.53;900.833;87.2452;0.948283;-0.872446;0.583079
14.8;1028.12;895.729;87.1227;0.963559;-0.888145;0.570601
14.88;1023.48;890.395;86.9971;0.979028;-0.903393;0.55783
14.96;1018.55;884.799;86.8685;0.994681;-0.918208;0.54477
15.04;1013.33;878.931;86.7369;1.01051;-0.932603;0.531429
15.12;1007.8;872.775;86.6023;1.02651;-0.946595;0.51781
15.2;1002.09;866.457;86.4649;1.04266;-0.960198;0.503922
15.28;995.859;859.672;86.3247;1.05897;-0.973427;0.489768
15.36;989.237;852.541;86.1816;1.07543;-0.986296;0.475357
15.44;982.193;845.038;86.0358;1.09202;-0.998818;0.460694
15.52;974.691;837.136;85.8873;1.10875;-1.01101;0.445785
15.6;966.688;828.801;85.7362;1.1256;-1.02287;0.430638
15.68;958.145;820.004;85.5825;1.14257;-1.03443;0.415258
15.76;949.001;810.696;85.4262;1.15966;-1.04569;0.399652
15.84;939.21;800.841;85.2675;1.17686;-1.05667;0.383828
15.92;928.696;790.379;85.1063;1.19416;-1.06737;0.367792
16;917.385;779.252;84.9427;1.21157;-1.0778;0.351552
16.08;905.19;767.392;84.7769;1.22907;-1.08799;0.335114
16.16;892.012;754.721;84.6088;1.24667;-1.09792;0.318485
16.24;877.733;741.144;84.4385;1.26435;-1.10763;0.301673
16.32;862.216;726.555;84.2661;1.28212;-1.1171;0.284686
16.4;845.298;710.825;84.0916;1.29997;-1.12636;0.267531
16.48;826.793;693.805;83.9151;1.31789;-1.13541;0.250214
