altitude;J;Percent_transm
292;36.6611;100.112
293;36.6612;100.112
294;36.6614;100.112
295;36.6615;100.113
296;36.6617;100.113
297;36.6618;100.114
298;36.6619;100.114
299;36.6621;100.114
300;36.6622;100.115
301;36.6623;100.115
302;36.6625;100.115
303;36.6626;100.116
304;36.6628;100.116
305;36.6629;100.117
306;36.663;100.117
307;36.6632;100.117
308;36.6633;100.118
309;36.6634;100.118
310;36.6635;100.118
311;36.6637;100.119
312;36.6638;100.119
313;36.664;100.12
314;36.6641;100.12
315;36.6643;100.12
316;36.6644;100.121
317;36.6645;100.121
318;36.6647;100.122
319;36.6648;100.122
320;36.6649;100.122
321;36.6651;100.123
322;36.6652;100.123
323;36.6654;100.123
324;36.6655;100.124
325;36.6656;100.124
326;36.6658;100.125
327;36.6659;100.125
328;36.6661;100.125
329;36.6662;100.126
330;36.6663;100.126
331;36.6665;100.126
332;36.6666;100.127
333;36.6667;100.127
334;36.6669;100.128
335;36.667;100.128
336;36.6671;100.128
337;36.6673;100.129
338;36.6674;100.129
339;36.6676;100.129
340;36.6677;100.13
341;36.6679;100.13
342;36.668;100.131
343;36.6681;100.131
344;36.6682;100.131
345;36.6684;100.132
346;36.6685;100.132
347;36.6686;100.132
348;36.6688;100.133
349;36.6689;100.133
350;36.6691;100.134
351;36.6692;100.134
352;36.6693;100.134
353;36.6695;100.135
354;36.6696;100.135
355;36.6697;100.135
356;36.6699;100.136
357;36.67;100.136
358;36.6701;100.136
359;36.6703;100.137
360;36.6704;100.137
361;36.6706;100.138
362;36.6707;100.138
363;36.6709;100.138
364;36.671;100.139
365;36.6711;100.139
366;36.6712;100.139
367;36.6714;100.14
368;36.6715;100.14
369;36.6716;100.141
370;36.6718;100.141
371;36.6719;100.141
372;36.6721;100.142
373;36.6722;100.142
374;36.6723;100.142
375;36.6725;100.143
376;36.6726;100.143
377;36.6727;100.144
378;36.6728;100.144
379;36.673;100.144
380;36.6731;100.145
381;36.6732;100.145
382;36.6734;100.145
383;36.6735;100.146
384;36.6737;100.146
385;36.6738;100.146
386;36.6739;100.147
387;36.6741;100.147
388;36.6742;100.148
389;36.6743;100.148
390;36.6745;100.148
391;36.6746;100.149
392;36.6747;100.149
393;36.6749;100.149
394;36.675;100.15
395;36.6751;100.15
396;36.6753;100.151
397;36.6754;100.151
398;36.6756;100.151
399;36.6757;100.152
400;36.6759;100.152
401;36.676;100.152
402;36.6761;100.153
403;36.6763;100.153
404;36.6764;100.154
405;36.6766;100.154
406;36.6767;100.154
407;36.6768;100.155
408;36.677;100.155
409;36.6771;100.156
410;36.6773;100.156
411;36.6774;100.156
412;36.6775;100.157
413;36.6777;100.157
414;36.6778;100.157
415;36.678;100.158
416;36.6781;100.158
417;36.6782;100.158
418;36.6784;100.159
419;36.6785;100.159
420;36.6786;100.16
421;36.6787;100.16
422;36.6789;100.16
423;36.679;100.161
424;36.6792;100.161
425;36.6793;100.162
426;36.6795;100.162
427;36.6796;100.162
428;36.6797;100.163
429;36.6799;100.163
430;36.68;100.163
431;36.6802;100.164
432;36.6803;100.164
433;36.6804;100.165
434;36.6806;100.165
435;36.6807;100.165
436;36.6808;100.166
437;36.681;100.166
438;36.6811;100.166
439;36.6812;100.167
440;36.6813;100.167
441;36.6815;100.167
442;36.6816;100.168
443;36.6817;100.168
444;36.6819;100.169
445;36.682;100.169
446;36.6822;100.169
447;36.6823;100.17
448;36.6824;100.17
449;36.6825;100.17
450;36.6827;100.171
451;36.6828;100.171
452;36.683;100.172
453;36.6831;100.172
454;36.6833;100.172
455;36.6834;100.173
456;36.6835;100.173
457;36.6837;100.173
458;36.6838;100.174
459;36.684;100.174
460;36.6841;100.175
461;36.6842;100.175
462;36.6844;100.175
463;36.6845;100.176
464;36.6846;100.176
465;36.6848;100.176
466;36.6849;100.177
467;36.6851;100.177
468;36.6852;100.178
469;36.6854;100.178
470;36.6855;100.178
471;36.6856;100.179
472;36.6858;100.179
473;36.6859;100.18
474;36.6861;100.18
475;36.6862;100.18
476;36.6863;100.181
477;36.6865;100.181
478;36.6866;100.181
479;36.6867;100.182
480;36.6869;100.182
481;36.687;100.183
482;36.6871;100.183
483;36.6873;100.183
484;36.6874;100.184
485;36.6876;100.184
486;36.6877;100.184
487;36.6879;100.185
488;36.688;100.185
489;36.6881;100.186
490;36.6883;100.186
491;36.6884;100.186
492;36.6885;100.187
493;36.6887;100.187
494;36.6888;100.187
495;36.689;100.188
496;36.6891;100.188
497;36.6893;100.189
498;36.6894;100.189
499;36.6895;100.189
500;36.6897;100.19
501;36.6898;100.19
502;36.6899;100.19
503;36.69;100.191
504;36.6902;100.191
505;36.6903;100.192
506;36.6904;100.192
507;36.6906;100.192
508;36.6908;100.193
509;36.6909;100.193
510;36.691;100.193
511;36.6912;100.194
512;36.6913;100.194
513;36.6914;100.195
514;36.6916;100.195
515;36.6917;100.195
516;36.6918;100.196
517;36.692;100.196
518;36.6921;100.196
519;36.6922;100.197
520;36.6924;100.197
521;36.6925;100.198
522;36.6926;100.198
523;36.6928;100.198
524;36.6929;100.199
525;36.6931;100.199
526;36.6932;100.199
527;36.6933;100.2
528;36.6935;100.2
529;36.6936;100.201
530;36.6937;100.201
531;36.6938;100.201
532;36.694;100.202
533;36.6941;100.202
534;36.6943;100.202
535;36.6944;100.203
536;36.6945;100.203
537;36.6947;100.203
538;36.6948;100.204
539;36.6949;100.204
540;36.6951;100.205
541;36.6952;100.205
542;36.6954;100.205
543;36.6955;100.206
544;36.6956;100.206
545;36.6958;100.206
546;36.6959;100.207
547;36.696;100.207
548;36.6962;100.208
549;36.6963;100.208
550;36.6964;100.208
551;36.6966;100.209
552;36.6967;100.209
553;36.6968;100.209
554;36.697;100.21
555;36.6971;100.21
556;36.6972;100.21
557;36.6974;100.211
558;36.6975;100.211
559;36.6977;100.212
560;36.6978;100.212
561;36.6979;100.212
562;36.6981;100.213
563;36.6982;100.213
564;36.6983;100.213
565;36.6985;100.214
566;36.6986;100.214
567;36.6987;100.215
568;36.6989;100.215
569;36.699;100.215
570;36.6992;100.216
571;36.6993;100.216
572;36.6994;100.216
573;36.6996;100.217
574;36.6997;100.217
575;36.6998;100.218
576;36.6999;100.218
577;36.7001;100.218
578;36.7002;100.219
579;36.7003;100.219
580;36.7005;100.219
581;36.7006;100.22
