Hora local: 14.72 ; S_z: 0.583079 ; J: 794.565
Hora local: 14.8 ; S_z: 0.570601 ; J: 788.72
Hora local: 14.88 ; S_z: 0.55783 ; J: 782.56
Hora local: 14.96 ; S_z: 0.54477 ; J: 776.064
Hora local: 15.04 ; S_z: 0.531429 ; J: 769.209
Hora local: 15.12 ; S_z: 0.51781 ; J: 761.971
Hora local: 15.2 ; S_z: 0.503922 ; J: 754.331
Hora local: 15.28 ; S_z: 0.489768 ; J: 746.259
Hora local: 15.36 ; S_z: 0.475357 ; J: 737.715
Hora local: 15.44 ; S_z: 0.460694 ; J: 728.681
Hora local: 15.52 ; S_z: 0.445785 ; J: 719.109
Hora local: 15.6 ; S_z: 0.430638 ; J: 708.962
Hora local: 15.68 ; S_z: 0.415258 ; J: 698.198
Hora local: 15.76 ; S_z: 0.399652 ; J: 686.76
Hora local: 15.84 ; S_z: 0.383828 ; J: 674.593
Hora local: 15.92 ; S_z: 0.367792 ; J: 661.634
Hora local: 16 ; S_z: 0.351552 ; J: 647.815
Hora local: 16.08 ; S_z: 0.335114 ; J: 633.049
Hora local: 16.16 ; S_z: 0.318485 ; J: 617.255
Hora local: 16.24 ; S_z: 0.301673 ; J: 600.328
Hora local: 16.32 ; S_z: 0.284686 ; J: 582.155
Hora local: 16.4 ; S_z: 0.267531 ; J: 562.601
Hora local: 16.48 ; S_z: 0.250214 ; J: 541.525
Hora local: 16.56 ; S_z: 0.232745 ; J: 518.763
Hora local: 16.64 ; S_z: 0.21513 ; J: 494.123
Hora local: 16.72 ; S_z: 0.197377 ; J: 467.397
Hora local: 16.8 ; S_z: 0.179495 ; J: 438.355
Hora local: 16.88 ; S_z: 0.16149 ; J: 406.738
Hora local: 16.96 ; S_z: 0.143371 ; J: 372.278
Hora local: 17.04 ; S_z: 0.125146 ; J: 334.686
Hora local: 17.12 ; S_z: 0.106823 ; J: 293.692
Hora local: 17.2 ; S_z: 0.088409 ; J: 249.049
Hora local: 17.28 ; S_z: 0.0699132 ; J: 200.47
Hora local: 17.36 ; S_z: 0.0513431 ; J: 147.604
Hora local: 17.44 ; S_z: 0.0327073 ; J: 90.0801
Hora local: 17.52 ; S_z: 0.0140139 ; J: 31.4378
